Title,Company,Job Type,Location,Link
English content Writer,Casita -,Full TimeHybrid,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Casita-Egypt-47449
Technical Engineer,The Egyptian Co. for Electrical Industries -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The Egyptian Co. for Electrical Industries-Egypt-119480
Recruitment Team Leader,Egyptian Packaging and Plastic Systems Corp -,Full TimeOn-site,"Manial, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Egyptian-Packaging-and-Plastic-Systems-Corp-Egypt-2331
Content & Social Media Specialist,Masar Architects  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Masar Architects-Egypt-104814
Sales & Technical Support Engineer,Egyptian Packaging and Plastic Systems Corp -,Full TimeOn-site,"Manial, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Egyptian-Packaging-and-Plastic-Systems-Corp-Egypt-2331
ERP Technical Support,Confidential -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/vum0c0m2gtLP-ERP-Technical-Support-Cairo-Egypt
Real Estate Sales Consultant – Residential,century investment -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/century investment-Egypt-125660
Operations Agent (B2B Online Booking System),Royal Ambassador -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Royal-Ambassador-Egypt-7813
Store Manager (Fashion Retail),JAZ STORE -,Full TimeOn-site,"Haram, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/JAZ STORE-Egypt-125781
Senior Telesales Agent,Confidential -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/n1R8pGK9wuHM-Senior-Telesales-Agent-Giza-Egypt
Performance Marketing Specialist,Seoudi Supermarket -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038
Visa Officer,Confidential -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/OrYl2DgeiDVw-Visa-Officer-Giza-Egypt
Remote Sales Representative- Real Estate,Build Ready Group -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Build Ready Group-United States-125520
Sales Executive – Software,MCBS -,Full TimeOn-site,"Mokattam, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MCBS-Egypt-125498
Agricultural Materials Development Supervisor,ALYASEEN AGRI  -,Full TimeOn-site,"Al Hofuf, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ALYASEEN-AGRI--Saudi-Arabia-103130
Finance Manager,Coterie -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Coterie-Egypt-125728
Supply Chain( procurement / Foreign Logistics ),Egyptian Packaging and Plastic Systems Corp -,Full TimeOn-site,"Manial, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Egyptian-Packaging-and-Plastic-Systems-Corp-Egypt-2331
Human Resources Generalist,Kandeel Group -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/قنديل-جروب-للتطوير-العقاري-Egypt-48256
Junior Design Architect,Masar Architects  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Masar Architects-Egypt-104814
Sales Executive,Design Concept -,Full TimeHybrid,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Design-Concept-Egypt-50506
Telesales Agent,Design Concept -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Design-Concept-Egypt-50506
Medical Team Leader - SHC Project,Mersal  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mersal-Egypt-45113
Content Creator,4thK Marketing Solutions -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/4thK Marketing Solutions-Egypt-125821
DevOps Engineer,Exceed -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Exceed-Saudi-Arabia-69079
Accountant,Economic Group  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Economic-Group-Egypt-92844
Referral Focal Point Doctor,Mersal  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mersal-Egypt-45113
Remote ERP Sales Specialist,Exceed -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Exceed-Saudi-Arabia-69079
Routing Specialist,Confidential -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/r44NAS6CkEGG-Routing-Specialist-Giza-Egypt
Project Section Head (Deputy Manager),Mersal  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mersal-Egypt-45113
Senior Technical office Engineer,Energya Cables -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Energya-Cables-Egypt-49741
Marketing Specialist,El-Taisser Group -,Full TimeOn-site,"New Nozha, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/El-Taisser-Group-Egypt-71785
Telesales Representative,Confidential -,Full TimeRemote,"Dammam, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/9U76HyiohfN3-Telesales-Representative-Dammam-Saudi-Arabia
Office Manager,Economic Group  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Economic-Group-Egypt-92844
Fresh Production/ Furnace Engineer,M&A Glass Processing Company  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/M&A Glass Processing Company-Egypt-88987
Maintenance Engineer,Power Solutions -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/PS-Egypt-9190
Production Manager (Glass Manufacturing),M&A Glass Processing Company  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/M&A Glass Processing Company-Egypt-88987
Software Testing Instructor,Route ِAcademy -,Full TimeOn-site,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Route-Egypt-46946
Talent Acquisition Specialist,M&A Glass Processing Company  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/M&A Glass Processing Company-Egypt-88987
Devops Instructor,Route ِAcademy -,Full TimeOn-site,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Route-Egypt-46946
Sales Representative,Pixel LED   -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Pixel LED-Egypt-122830
Sales Outdoor,Pixel LED   -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Pixel LED-Egypt-122830
Project Manager (Fit-Out),KEC- IDENTITY FOR ENGENERING -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/KEC--IDENTITY-FOR-ENGENERING-Egypt-69197
Merchandiser,Target Recruitment  & HR Solutions  -,Full TimeOn-site,"Mokattam, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Target-Recruitment----HR-Solutions-Egypt-2029
Architecture Project Manager,Spinneys Egypt -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Spinneys-Egypt-Egypt-721
Production Engineer,Firoz Group -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Firoz-Group-Egypt-9464
Shopify Developer,Confidential -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/lEq0fHqFtKHT-Shopify-Developer-Cairo-Egypt
Senior Graphic Designer,FRIDAL -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/FRIDAL-Egypt-14596
Marketer,BrokMark -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/BrokMark-Egypt-118525
Graphic Designer,Happy Vision -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Happy-Vision-Egypt-40667
Collection Officer,Egyptian Company for Supplies -,Full TimeOn-site,"Manial, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-109933
General Accountant,Confidential -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/U3uJLQd4GNEy-General-Accountant-Giza-Egypt
"Recruitment Specialist "" Security & Money Transfer Company """,La Poire -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/La-Poire-Egypt-13221
Production Engineer,Confidential -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/vPgsUrfxU35c-Production-Engineer-Giza-Egypt
HR Assistant,Zeina Group -,InternshipOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Zeina-Group-Egypt-11128
Export Sales Specialist,KCG Textile Egypt  -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/KCG Textile Egypt-Egypt-96774
Senior RPA Developer (UiPath),Tafeel -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Tafeel-Egypt-29001
Junior Production Engineer,hswoodindustries -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-97215
Admissions Officer,Golf Aviation Academy  -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Golf Aviation Academy-Egypt-105826
Property Advisor,NIG -,Full TimeOn-site,"New Damietta, Damietta, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/NIG-Egypt-76694
Inventory Controller/ Stock Control,Seoudi Supermarket -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038
Arabic Teacher,EL KHETA -,Part TimeFreelance / ProjectOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/EL-KHETA-Egypt-57444
Procurement & Supply Trainer (CIPS Level 5 Certified),Avanguard -,Freelance / ProjectOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Avanguard-Egypt-123929
Sales Representative,B2B Shipping Services  -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/B2B-shipping-services-Egypt-22949
Accountant,Attarji Perfumes عطرجي للعطور -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Attarji Perfumes عطرجي للعطور-Egypt-125810
Technical Office Manager Engineer,Confidential -,Full TimeOn-site,"New Capital, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/vGNvDdz8XRr1-Technical-Office-Manager-Engineer-Cairo-Egypt
Senior Accountant,Attarji Perfumes عطرجي للعطور -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Attarji Perfumes عطرجي للعطور-Egypt-125810
English Teacher,EL KHETA -,Part TimeFreelance / ProjectOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/EL-KHETA-Egypt-57444
Customer Service Engineer (Gerga -Sohag),NCR -,Full TimeOn-site,"Gerga, Sohag, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-41686
"Graphic Designer ""Photoshop Experience""",TechJump -,Full TimeHybrid,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IT-Experts-Egypt-89172
Customer Service Engineer (Greater Cairo),NCR -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-41686
Medical Sales Representative,symmetry pharma -,Full TimeHybrid,"Agami, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/symmetry pharma-Egypt-125815
Sales Representative,Venecia Blinds  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Venecia-Decor-Egypt-40862
Club Operations Supervisor,SODIC Clubs  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SODIC Clubs-Egypt-120939
HR Specialist,Elsewedy industries -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Elsewedy-industries-Egypt-49892
People Operations Officer,Transmar International  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Transmar-International--Egypt-20249
Receptionist,Jazeera Paints -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Jazeera-Panits-Egypt-42107
Sales Administrator,Insport -,Shift BasedOn-site,"Smouha, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Insport-Egypt-125772
Account Manager,Egylifts -مصاعد مصر -,Full TimeOn-site,"Nozha, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-112826
Logistics Administrator,Agroyal fresh for Import & Export -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Agroyal fresh for Import & Export-Egypt-125806
Logistics Specialist,ElEzaby Automotive  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/El-Ezaby-Autoparts-Egypt-64395
SVC Network Engineer (Home Appliances),Midea Group -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Midea-Group-Egypt-64266
Import Operation Specialist,B2B Shipping Services  -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/B2B-shipping-services-Egypt-22949
Sales Engineer,Egylifts -مصاعد مصر -,Full TimeOn-site,"Nozha, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-112826
Warehouse Keeper,Elsewedy Electric -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/El-Sewedy-Egypt-19852
Senior Tax Accountant,Nahdet Misr Publishing Group -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272
Store Manager,Outlook -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Outlook-Egypt-89413
Accountant - Fresh Graduates,Outlook -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Outlook-Egypt-89413
Reels Editor,Flyer Advertising -,Part TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-124424
Retail Sales Agent,Confidential -,Full TimeOn-site,"Mahta Alraml, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jR9Da1agbd9G-Retail-Sales-Agent-Alexandria-Egypt
Inbound Tour Operator,Confidential -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/JN3KJBp3f3Y3-Inbound-Tour-Operator-Cairo-Egypt
Senior Mechanical Engineer (Firefighting - Plumbing),Q Design -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Q-Desgin-Egypt-12265
Senior Electrical Design Engineer,Q Design -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Q-Desgin-Egypt-12265
Electrical Design Team Leader,Q Design -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Q-Desgin-Egypt-12265
Mechanical Engineer (Firefighting - Plumbing),Q Design -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Q-Desgin-Egypt-12265
Electrical Engineer,Q Design -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Q-Desgin-Egypt-12265
junior Interior Design Engineer,Q Design -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Q-Desgin-Egypt-12265
Interior Designer,Verde developments -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Verde developments-Egypt-125808
Customer Support Representative,Confidential -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/xwTlnLivZf5E-Customer-Support-Representative-Cairo-Egypt
Technical Support Engineer (Home Appliances),Midea Group -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Midea-Group-Egypt-64266
Senior Web Merchandiser,AL MORSHEDY MALL -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-105921
Domestic Tour Operator,Confidential -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/1agOjibbgUdv-Domestic-Tour-Operator-Cairo-Egypt
Sales & Marketing Executive,Global Business Hub -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Global Business Hub-Egypt-125807
HR Intern,BariQ -,InternshipOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Raya-Holding-Egypt-21237
Senior Inventory Controller,Midea Group -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Midea-Group-Egypt-64266
IT Specialist,BariQ -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Raya-Holding-Egypt-21237
Accountant,Agroyal fresh for Import & Export -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Agroyal fresh for Import & Export-Egypt-125806
Sales Administrator,Gazelle Envelope Manufacturers  -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Gazelle Envelope Manufacturers-Egypt-97493
Assistant Sales,Gazelle 3D Tech -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Gazelle-3D-Tech-Egypt-62526
Technical Office Engineer,Unitech -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Unitech-Egypt-9234
MEP Tendering Expert,Elsewedy industries -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Elsewedy-industries-Egypt-49892
Senior Accountant ( Mokattam Hospital ),Al Ahly Medical Company -,Full TimeOn-site,"Mokattam, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-Ahly-Medical-Company-Egypt-7459
Quality Control (QC) Manager,Confidential -,Full TimeOn-site,"Beni Suef, Beni Suef, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/A57QJ0oTD10k-Quality-Control-QC-Manager-Beni-Suef-Egypt
Quality Assurance (QA) Auditor,Sharm Dreams Group -,Full TimeOn-site,"Manial, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sharm Dreams Group-Egypt-86374
Junior Accountant ( Mokattam Hospital ),Al Ahly Medical Company -,Full TimeOn-site,"Mokattam, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-Ahly-Medical-Company-Egypt-7459
Guest Service Agent,Lemonspaces -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Lemonspaces-Egypt-68511
MEP Sales Expert,Elsewedy industries -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Elsewedy-industries-Egypt-49892
Export Area Manager,Confidential -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gbTtT0G63wEf-Export-Area-Manager-Cairo-Egypt
Procurement and Cost Analyst,Sharm Dreams Group -,Full TimeOn-site,"Manial, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sharm Dreams Group-Egypt-86374
Site Engineer,Unitech -,Full TimeHybrid,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Unitech-Egypt-9234
Technical Office Engineer,AM For Trading and Contracting -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/--116970
Purchasing Manager,SODIC Clubs  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SODIC Clubs-Egypt-120939
English Instructors - Nasrcity Branch,SYE English Community -,Full TimePart TimeFreelance / ProjectHybrid,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SYE-English-Community-Egypt-13113
Medical Representative - Kafr Elsheikh,El Nahar for Medical Solutions -,Full TimeShift BasedOn-site,"Kafr Alsheikh, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/El-Nahar-for-Medical-Solutions-Egypt-29738
Key Account Manager (KSA),Specialized Seamless Services  -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Specialized-Seamless-Services--Egypt-123563
Sales Representative,Nozha Group -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Nozha-Group-Egypt-17516
English Instructors - Dokki Branch,SYE English Community -,Full TimePart TimeFreelance / ProjectHybrid,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SYE-English-Community-Egypt-13113
Medical Representative,Care Direct  -,Part TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Care Direct-Egypt-95132
Front Desk Agent (October branch),SYE English Community -,Full TimeShift BasedOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SYE-English-Community-Egypt-13113
Front Desk Agent (Nasr city),SYE English Community -,Full TimeShift BasedOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SYE-English-Community-Egypt-13113
IT Technical Support Engineer,Outservingplus -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Outservingplus-Egypt-75652
Senior Design Architect,High Art -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/High-Art-Egypt-13696
Administrative Assistant,Confidential -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/nnoXKkgLIYb6-Administrative-Assistant-Giza-Egypt
Document Controller,New Plan  -,Full TimeOn-site,"New Capital, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/AlKhalil-Egypt-32501
Key Accounts Manager (construction building materials) - Retail Sector,InsuTech  -,Full TimeHybrid,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Contact-Group-Egypt-3131
Telesales Representative - UK Account ONLY,Global Travel Association -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Global-Travel-Association-Egypt-14083
Medical Representative -Helmyat Zaytoun,dkt Egypt -,Full TimeRemote,"Helmeyat Alzaytoun, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/dkt-egypt-Egypt-34523
IT Specialist,LIVING IN INTERIORS - EGYPT -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/LIVING-IN-INTERIORS---EGYPT-Egypt-11434
Telesales Representative - Europe & UK Account,Global Travel Association -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Global-Travel-Association-Egypt-14083
IT Network Engineer,LIVING IN INTERIORS - EGYPT -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/LIVING-IN-INTERIORS---EGYPT-Egypt-11434
Sales Representative – ERP Systems,ROOT IQ -,Full TimeHybrid,"Baghdad, Iraq",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ROOT IQ-Iraq-123348
Data Entry,Global Tires Trading and Distribution -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Global-tires-Egypt-110948
Senior Sales Engineer (Petroleum Field),valves engineering company -,Full TimeOn-site,"Badr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/valves-engineering-company-Egypt-72807
Treasury Accountant,Sky logistics -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sky-logistics-Egypt-43527
Senior Accountant,SAK Developments -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sak-Developments-Egypt-37596
Senior Events & Media Specialist,FRIDAL -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/FRIDAL-Egypt-14596
Chemical Sales Manager,Egyptian Company for Medical Investments ECMI -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Egyptian-Company-for-Medical-Investments-ECMI-Egypt-105646
